Datetime,Price,Quantity
2024-12-06 09:38:15.862,98307.7,0.005
2024-12-06 09:38:15.862,98307.6,0.005
2024-12-06 09:38:15.868,98306.6,0.002
2024-12-06 09:38:15.891,98306.4,0.005
2024-12-06 09:38:15.931,98306.3,0.028
2024-12-06 09:38:15.946,98305.8,0.005
2024-12-06 09:38:15.946,98304.0,0.007
2024-12-06 09:38:15.952,98303.2,0.002
2024-12-06 09:38:15.952,98302.2,0.005
2024-12-06 09:38:15.952,98301.4,0.013
2024-12-06 09:38:15.952,98301.3,0.024
2024-12-06 09:38:15.952,98300.3,0.005
2024-12-06 09:38:15.957,98300.1,0.006
2024-12-06 09:38:15.957,98299.9,0.019
2024-12-06 09:38:15.957,98299.5,0.005
2024-12-06 09:38:15.957,98299.4,0.007
2024-12-06 09:38:15.957,98299.2,0.002
2024-12-06 09:38:15.957,98299.0,0.002
2024-12-06 09:38:15.957,98298.9,0.002
2024-12-06 09:38:15.957,98298.5,0.005
2024-12-06 09:38:15.957,98298.1,0.004
2024-12-06 09:38:15.957,98297.6,0.002
2024-12-06 09:38:15.957,98297.0,0.002
2024-12-06 09:38:15.957,98296.8,0.019
2024-12-06 09:38:15.957,98296.7,0.005
2024-12-06 09:38:15.957,98296.4,0.02
2024-12-06 09:38:15.966,98296.9,0.006
2024-12-06 09:38:15.966,98296.4,0.004
2024-12-06 09:38:15.966,98296.1,0.041
2024-12-06 09:38:16.066,98294.9,0.006
2024-12-06 09:38:16.114,98295.0,6.358
2024-12-06 09:38:16.114,98295.5,0.002
2024-12-06 09:38:16.114,98296.1,0.115
2024-12-06 09:38:16.124,98294.9,0.001
2024-12-06 09:38:16.124,98294.4,0.002
2024-12-06 09:38:16.124,98293.7,0.007
2024-12-06 09:38:16.237,98293.7,0.006
2024-12-06 09:38:16.676,98293.8,0.005
2024-12-06 09:38:16.922,98293.7,0.112
2024-12-06 09:38:17.083,98293.8,0.014
2024-12-06 09:38:17.229,98293.8,0.004
2024-12-06 09:38:17.245,98293.7,0.009
2024-12-06 09:38:17.371,98293.7,0.11
2024-12-06 09:38:17.373,98293.1,0.018
2024-12-06 09:38:17.373,98292.5,0.015
2024-12-06 09:38:17.374,98292.1,0.013
2024-12-06 09:38:17.374,98292.0,0.004
2024-12-06 09:38:17.374,98291.5,0.024
2024-12-06 09:38:17.378,98291.3,0.014
2024-12-06 09:38:17.378,98291.2,0.005
2024-12-06 09:38:17.380,98290.4,0.002
2024-12-06 09:38:17.380,98289.6,0.002
2024-12-06 09:38:17.381,98289.4,0.005
2024-12-06 09:38:17.381,98288.9,0.002
2024-12-06 09:38:17.381,98288.5,0.005
