Price,Quantity,Datetime,Type
101147.8,0.099,2024-12-14 01:17:19,Bid
101147.6,1.052,2024-12-14 01:17:19,Bid
101147.5,0.642,2024-12-14 01:17:19,Bid
101147.4,1.612,2024-12-14 01:17:19,Bid
101147.3,0.25,2024-12-14 01:17:19,Bid
101147.2,0.853,2024-12-14 01:17:19,Bid
101147.1,0.792,2024-12-14 01:17:19,Bid
101147.0,1.231,2024-12-14 01:17:19,Bid
101146.8,0.008,2024-12-14 01:17:19,Bid
101146.7,0.002,2024-12-14 01:17:19,Bid
101146.5,0.014,2024-12-14 01:17:19,Bid
101146.3,0.172,2024-12-14 01:17:19,Bid
101146.2,0.034,2024-12-14 01:17:19,Bid
101146.0,0.008,2024-12-14 01:17:19,Bid
101145.9,0.005,2024-12-14 01:17:19,Bid
101145.8,0.002,2024-12-14 01:17:19,Bid
101145.1,0.061,2024-12-14 01:17:19,Bid
101145.0,0.725,2024-12-14 01:17:19,Bid
101144.9,0.006,2024-12-14 01:17:19,Bid
101144.8,0.018,2024-12-14 01:17:19,Bid
101144.7,0.007,2024-12-14 01:17:19,Bid
101144.6,0.004,2024-12-14 01:17:19,Bid
101144.5,0.043,2024-12-14 01:17:19,Bid
101144.4,0.011,2024-12-14 01:17:19,Bid
101144.2,0.02,2024-12-14 01:17:19,Bid
101144.1,0.18,2024-12-14 01:17:19,Bid
101144.0,0.005,2024-12-14 01:17:19,Bid
101143.9,0.79,2024-12-14 01:17:19,Bid
101143.7,0.002,2024-12-14 01:17:19,Bid
101143.6,0.025,2024-12-14 01:17:19,Bid
101143.4,0.005,2024-12-14 01:17:19,Bid
101143.3,0.062,2024-12-14 01:17:19,Bid
101143.1,0.028,2024-12-14 01:17:19,Bid
101143.0,0.007,2024-12-14 01:17:19,Bid
101142.9,0.377,2024-12-14 01:17:19,Bid
101142.8,1.46,2024-12-14 01:17:19,Bid
101142.7,0.181,2024-12-14 01:17:19,Bid
101142.6,0.001,2024-12-14 01:17:19,Bid
101142.5,0.002,2024-12-14 01:17:19,Bid
101142.2,0.002,2024-12-14 01:17:19,Bid
101142.1,0.012,2024-12-14 01:17:19,Bid
101142.0,0.846,2024-12-14 01:17:19,Bid
101141.6,0.015,2024-12-14 01:17:19,Bid
101141.4,0.697,2024-12-14 01:17:19,Bid
101141.3,0.029,2024-12-14 01:17:19,Bid
101141.2,0.171,2024-12-14 01:17:19,Bid
101141.1,0.003,2024-12-14 01:17:19,Bid
101141.0,0.025,2024-12-14 01:17:19,Bid
101140.8,0.264,2024-12-14 01:17:19,Bid
101140.7,0.205,2024-12-14 01:17:19,Bid
101140.6,0.011,2024-12-14 01:17:19,Bid
101140.5,0.003,2024-12-14 01:17:19,Bid
101140.4,0.008,2024-12-14 01:17:19,Bid
101140.1,0.002,2024-12-14 01:17:19,Bid
101140.0,0.013,2024-12-14 01:17:19,Bid
101139.9,0.003,2024-12-14 01:17:19,Bid
101139.8,0.014,2024-12-14 01:17:19,Bid
101139.5,0.346,2024-12-14 01:17:19,Bid
101139.4,0.002,2024-12-14 01:17:19,Bid
101139.2,0.02,2024-12-14 01:17:19,Bid
101139.1,0.002,2024-12-14 01:17:19,Bid
101139.0,1.763,2024-12-14 01:17:19,Bid
101138.9,0.007,2024-12-14 01:17:19,Bid
101138.8,0.024,2024-12-14 01:17:19,Bid
101138.7,0.118,2024-12-14 01:17:19,Bid
101138.6,0.002,2024-12-14 01:17:19,Bid
101138.4,0.092,2024-12-14 01:17:19,Bid
